year;month;rainfall
1967;Jun;3.9
1967;Jul;9
1967;Aug;17.2
1967;Sep;0.1
1967;Oct;69.2
1967;Nov;140.3
1967;Dec;82.6
1968;Jan;66.7
1968;Feb;95.6
1968;Mar;74.1
1968;Apr;33
1968;May;14.2
1968;Jun;20.2
1968;Jul;7.2
1968;Aug;5.6
1968;Sep;5.2
1968;Oct;46.1
1968;Nov;152.7
1968;Dec;50.7
1969;Jan;82.1
1969;Feb;85.1
1969;Mar;199.2
1969;Apr;28.6
1969;May;18
1969;Jun;0.6
1969;Jul;12.3
1969;Aug;0.3
1969;Sep;59.8
1969;Oct;134.4
1969;Nov;120.4
1969;Dec;183.6
1970;Jan;15.3
1970;Feb;56.6
1970;Mar;26
1970;Apr;10.9
1970;May;10.3
1970;Jun;14.8
1970;Jul;14.5
1970;Aug;19.6
1970;Sep;14.2
1970;Oct;36.9
1970;Nov;112.6
1970;Dec;85.3
1971;Jan;130.3
1971;Feb;64
1971;Mar;163.3
1971;Apr;67.7
1971;May;33.7
1971;Jun;4.2
1971;Jul;1.9
1971;Aug;1.9
1971;Sep;23.4
1971;Oct;129.6
1971;Nov;97.3
1971;Dec;236.4
1972;Jan;212.3
1972;Feb;137
1972;Mar;229.6
1972;Apr;53.8
1972;May;80.2
1972;Jul;0.3
1972;Aug;1.4
1972;Sep;0.3
1972;Oct;61
1972;Nov;66.7
1972;Dec;44.4
1974;May;18.6
1974;Jun;2.1
1974;Jul;31.9
1974;Aug;0.8
1974;Sep;17.9
1974;Oct;71.6
1974;Nov;71.9
1974;Dec;94.7
1975;Jan;238.9
1975;Feb;96.9
1975;Mar;55.5
1975;Apr;60.6
1975;May;19
1975;Jun;12.8
1975;Aug;0.5
1975;Sep;16.8
1975;Oct;49.2
1975;Nov;97
1975;Dec;332.4
1976;Jan;203.2
1976;Feb;137.9
1976;Mar;149.4
1976;Apr;29.6
1976;May;29.2
1976;Aug;0.2
1976;Sep;1.3
1976;Oct;120.4
1976;Nov;120.8
1976;Dec;109.8
1977;Jan;130.3
1977;Feb;113.7
